A000062,A000244,A000342,B000046,B000099,B000111,B000145,B000460,B000816,B000823,B000828,B000874,B001013,B001069,B001150,B001169,B001177,B001208,C000128,C000133,C000211,C000290,C000338,C000684,C000774,D000414,D000469,E000018,E000112,F000081,F000401,G000131,G000141,G000232,G000337,G000418,G000519,G000532,H000293,H000334,H000365,H000385,H000559,H000598,H000679,H000913,J000127,J000140,J000195,K000176,K000292,L000005,L000070,L000493,M000053,M000088,M000279,M000308,M000332,M000438,M000499,M000559,M000615,M000771,M000814,M000895,M001014,M001029,M001082,M001108,M001127,O000034,O000088,O000146,P000218,R000006,R000112,R000167,R000317,R000320,R000536,S000021,S000196,S000369,S000553,S000701,S000792,S000901,S001117,T000009,T000079,T000164,T000172,T000177,T000289,T000387,T000409,T000446,V000025,W000021,W000088,W000097,W000330,W000344,W000396,W000465,W000563,W000581,Y000047,date,isAmendment,requires,result,title
Yea,Present,Yea,Present,Yea,,Nay,Present,Yea,Yea,Nay,Not Voting,Yea,,,Yea,Present,Present,Yea,Yea,,,Nay,Present,Yea,Yea,Nay,Yea,Present,Yea,Yea,Yea,Nay,,,Nay,Nay,Yea,Yea,Present,Yea,Nay,Present,Nay,Yea,,Yea,,Yea,Nay,,Nay,Yea,Nay,Nay,,Present,Nay,Yea,Present,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,,Yea,Nay,Present,,Present,Yea,,,Yea,,Yea,Nay,Nay,,Yea,Yea,,Nay,Present,Present,Nay,,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,1946-07-12,0,,unknown,hjres371
Nay,Not Voting,Nay,Present,Yea,,Nay,Present,Nay,Yea,Nay,Present,Present,,,Present,Present,Present,Nay,Nay,,,Nay,Present,Nay,Nay,Nay,Nay,Present,Nay,Nay,Present,Nay,,,Nay,Nay,Yea,Nay,Present,Nay,Nay,Present,Nay,Nay,,Nay,,Nay,Nay,,Nay,Nay,Nay,Nay,,Not Voting,Yea,Nay,Present,Nay,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,Nay,Nay,Yea,Present,Nay,Nay,Nay,Yea,Nay,,Yea,Nay,Present,,Present,Nay,,,Nay,,Nay,Not Voting,Nay,,Not Voting,Nay,,Nay,Present,Present,Nay,,Nay,Present,Yea,Nay,Yea,Yea,Yea,Yea,1946-07-12,0,,unknown,hjres371
Nay,Not Voting,Nay,Present,Yea,,Nay,Present,Yea,Yea,Nay,Not Voting,Yea,,,Not Voting,Present,Present,Yea,Yea,,,Nay,Present,Yea,Yea,Nay,Nay,Present,Yea,Nay,Nay,Nay,,,Nay,Nay,Yea,Present,Present,Yea,Nay,Not Voting,Nay,Nay,,Nay,,Nay,Nay,,Nay,Nay,Nay,Nay,,Not Voting,Nay,Nay,Present,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Present,,Present,Yea,,,Yea,,Yea,Nay,Nay,,Yea,Present,,Nay,Present,Present,Nay,,Nay,Present,Yea,Yea,Yea,Yea,Yea,Yea,1946-07-12,0,,unknown,hjres371
Nay,Not Voting,Nay,Present,Nay,,Nay,Present,Nay,Nay,Nay,Not Voting,Nay,,,Not Voting,Present,Present,Nay,Nay,,,Yea,Present,Nay,Nay,Yea,Nay,Present,Nay,Nay,Nay,Nay,,,Yea,Yea,Nay,Nay,Present,Nay,Present,Present,Yea,Nay,,Nay,,Nay,Yea,,Nay,Nay,Yea,Yea,,Not Voting,Nay,Nay,Present,Nay,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,,Nay,Nay,Present,,Present,Nay,,,Nay,,Nay,Yea,Yea,,Nay,Not Voting,,Yea,Present,Present,Yea,,Yea,Present,Nay,Nay,Nay,Nay,Nay,Nay,1946-07-12,0,,unknown,hjres371
Yea,Not Voting,Yea,Present,Nay,,Yea,Present,Yea,Nay,Yea,Not Voting,Nay,,,Nay,Present,Not Voting,Nay,Yea,,,Yea,Present,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,,,Yea,Nay,Nay,Yea,Present,Yea,Yea,Present,Yea,Yea,,Yea,,Yea,Yea,,Yea,Yea,Yea,Yea,,Not Voting,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,,Nay,Yea,Present,,Present,Yea,,,Yea,,Yea,Nay,Yea,,Yea,Not Voting,,Yea,Present,Present,Yea,,Yea,Present,Nay,Yea,Yea,Nay,Nay,Nay,1946-07-12,0,,unknown,hjres371
Nay,Nay,Nay,Present,Present,,Nay,Present,Present,Yea,Nay,Present,Not Voting,,,Present,Present,Present,Yea,Yea,,,Nay,Present,Yea,Yea,Nay,Nay,Present,Yea,Present,Nay,Yea,,,Nay,Nay,Yea,Nay,Present,Yea,Nay,Present,Nay,Nay,,Yea,,Nay,Yea,,Nay,Yea,Not Voting,Yea,,Not Voting,Nay,Nay,Not Voting,Present,Nay,Yea,Yea,Nay,Yea,Yea,,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Present,Yea,Yea,,Yea,Nay,Present,,Not Voting,Yea,,,Present,,Nay,Nay,Nay,,Yea,Not Voting,,Nay,Present,Present,Nay,,Yea,Present,Yea,Nay,Yea,Yea,Not Voting,Yea,1946-07-13,0,,unknown,hconres154
Yea,Nay,Yea,Present,Yea,,Nay,Nay,Yea,Yea,Present,Present,Not Voting,,,Not Voting,Present,Present,Yea,Yea,,,Nay,Yea,Yea,Yea,Nay,Nay,Present,Yea,Nay,Nay,Yea,,,Nay,Nay,Yea,Yea,Present,Yea,Nay,Present,Nay,Nay,,Nay,,Nay,Nay,,Yea,Yea,Nay,Nay,,Not Voting,Nay,Yea,Not Voting,Present,Nay,Yea,Yea,Nay,Yea,Yea,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,,Yea,Nay,Present,,Yea,Yea,,,Nay,,Yea,Nay,Nay,,Nay,Not Voting,,Nay,Present,Yea,Nay,,Nay,Present,Yea,Yea,Yea,Yea,Yea,Yea,1946-07-15,0,,unknown,hconres151
Nay,Nay,Nay,Present,Yea,,Nay,Yea,Yea,Yea,Present,Present,Not Voting,,,Not Voting,Present,Not Voting,Yea,Yea,,,Nay,Nay,Yea,Yea,Nay,Yea,Present,Yea,Nay,Yea,Yea,,,Nay,Nay,Yea,Nay,Present,Yea,Nay,Present,Nay,Yea,,Yea,,Yea,Nay,,Nay,Yea,Nay,Nay,,Not Voting,Nay,Yea,Not Voting,Present,Yea,Nay,Yea,Nay,Yea,Yea,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,,Yea,Yea,Present,,Yea,Yea,,,Yea,,Yea,Nay,Nay,,Yea,Not Voting,,Nay,Present,Yea,Nay,,Not Voting,Present,Yea,Yea,Yea,Yea,Yea,Nay,1946-07-15,0,,unknown,hconres64
Yea,Yea,Yea,Present,Nay,,Yea,Present,Present,Present,Present,Present,Present,,,Present,Present,Nay,Present,Yea,,,Yea,Nay,Yea,Yea,Yea,Yea,Present,Yea,Yea,Nay,Present,,,Yea,Yea,Yea,Present,Present,Nay,Present,Present,Yea,Yea,,Yea,,Present,Yea,,Yea,Yea,Yea,Yea,,Present,Yea,Nay,Present,Nay,Yea,Yea,Yea,Present,Present,Yea,,Yea,Yea,Yea,Present,Present,Nay,Yea,Present,Present,Yea,,Nay,Nay,Present,,Present,Yea,,,Yea,,Nay,Yea,Yea,,Nay,Yea,,Yea,Present,Yea,Yea,,Yea,Present,Nay,Present,Nay,Nay,Present,Nay,1946-07-16,0,,unknown,hr6885
Yea,Nay,Yea,Present,Yea,,Yea,Nay,Nay,Present,Present,Yea,Not Voting,,,Yea,Present,Present,Yea,Yea,,,Yea,Nay,Yea,Nay,Nay,Nay,Present,Yea,Yea,Yea,Nay,,,Nay,Yea,Yea,Nay,Present,Yea,Nay,Not Voting,Nay,Nay,,Nay,,Nay,Not Voting,,Nay,Yea,Present,Present,,Nay,Yea,Yea,Not Voting,Yea,Present,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,,Yea,Not Voting,Present,,Nay,Yea,,,Present,,Nay,Nay,Present,,Yea,Yea,,Yea,Present,Yea,Nay,,Nay,Present,Yea,Nay,Yea,Present,Yea,Nay,1946-07-19,0,,unknown,sjres61
Nay,Yea,Yea,Not Voting,Yea,,Nay,Yea,Yea,Present,Present,Yea,Present,,,Present,Present,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,Present,Nay,Nay,Nay,Yea,,,Nay,Nay,Yea,Yea,Present,Yea,Nay,Present,Nay,Yea,,Nay,,Yea,Present,,Nay,Nay,Present,Yea,,Yea,Yea,Yea,Present,Present,Nay,Nay,Yea,Nay,Yea,Yea,,Present,Nay,Yea,Not Voting,Present,Yea,Yea,Yea,Yea,Yea,,Yea,Present,Present,,Present,Yea,,,Present,,Yea,Nay,Nay,,Present,Not Voting,,Nay,Present,Yea,Present,,Yea,Present,Yea,Yea,Yea,Present,Present,Nay,1946-07-19,0,,unknown,hjres225
Yea,Nay,Present,Present,Nay,,Nay,Nay,Nay,Present,Present,Yea,Nay,,,Yea,Present,Nay,Yea,Yea,,,Yea,Nay,Yea,Yea,Nay,Nay,Present,Nay,Nay,Nay,Nay,,,Yea,Nay,Nay,Nay,Present,Nay,Nay,Present,Nay,Nay,,Nay,,Present,Present,,Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Present,Nay,Nay,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Nay,Present,Nay,Nay,Nay,Yea,Nay,,Nay,Nay,Present,,Nay,Nay,,,Present,,Nay,Nay,Nay,,Nay,Nay,,Nay,Present,Nay,Nay,,Nay,Present,Nay,Nay,Nay,Nay,Yea,Nay,1946-07-22,0,,unknown,hjres225
Yea,Nay,Present,Present,Nay,,Yea,Nay,Yea,Present,Present,Nay,Nay,,,Nay,Present,Nay,Yea,Nay,,,Yea,Nay,Nay,Yea,Nay,Nay,Present,Yea,Yea,Nay,Nay,,,Yea,Yea,Nay,Yea,Present,Nay,Yea,Present,Yea,Nay,,Yea,,Present,Present,,Yea,Yea,Yea,Yea,,Nay,Nay,Nay,Present,Yea,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Yea,Yea,Nay,Present,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Present,,Nay,Nay,,,Present,,Nay,Yea,Yea,,Nay,Yea,,Yea,Present,Yea,Yea,,Nay,Present,Nay,Nay,Nay,Nay,Nay,Yea,1946-07-22,0,,unknown,hjres225
Yea,Nay,Present,Present,Nay,,Yea,Nay,Nay,Present,Present,Nay,Nay,,,Nay,Present,Nay,Nay,Nay,,,Yea,Nay,Nay,Nay,Nay,Nay,Present,Yea,Yea,Nay,Nay,,,Yea,Yea,Nay,Yea,Present,Nay,Yea,Present,Yea,Nay,,Yea,,Present,Present,,Yea,Yea,Nay,Yea,,Nay,Nay,Nay,Present,Yea,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Yea,Yea,Nay,Present,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Present,,Nay,Nay,,,Present,,Nay,Yea,Yea,,Nay,Yea,,Yea,Present,Nay,Yea,,Yea,Present,Nay,Nay,Nay,Nay,Nay,Nay,1946-07-22,0,,unknown,hjres225
Nay,Yea,Present,Not Voting,Nay,,Yea,Yea,Nay,Present,Present,Present,Yea,,,Present,Present,Yea,Yea,Nay,,,Nay,Yea,Yea,Yea,Yea,Yea,Present,Nay,Yea,Yea,Yea,,,Yea,Nay,Yea,Yea,Present,Yea,Yea,Present,Yea,Yea,,Yea,,Not Voting,Present,,Nay,Nay,Yea,Yea,,Yea,Yea,Yea,Present,Yea,Yea,Nay,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Present,,Nay,Yea,,,Not Voting,,Nay,Nay,Yea,,Yea,Nay,,Nay,Present,Nay,Nay,,Nay,Present,Nay,Yea,Yea,Nay,Nay,Yea,1946-07-22,0,,unknown,hjres225
Nay,Yea,Not Voting,Not Voting,Yea,,Nay,Yea,Nay,Present,Present,Yea,Yea,,,Present,Present,Yea,Yea,Yea,,,Nay,Yea,Yea,Nay,Yea,Yea,Present,Nay,Nay,Yea,Yea,,,Nay,Nay,Yea,Nay,Present,Yea,Nay,Present,Nay,Yea,,Nay,,Present,Not Voting,,Nay,Nay,Nay,Nay,,Yea,Yea,Nay,Present,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,Nay,Nay,Yea,Present,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,Present,,Yea,Yea,,,Present,,Yea,Nay,Nay,,Yea,Nay,,Nay,Present,Yea,Nay,,Yea,Present,Yea,Yea,Yea,Yea,Yea,Present,1946-07-22,0,,unknown,hjres225
Nay,Nay,Present,Present,Yea,,Nay,Nay,Nay,Present,Present,Yea,Yea,,,Nay,Present,Nay,Nay,Yea,,,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,Yea,Nay,Nay,,,Nay,Nay,Nay,Yea,Present,Yea,Yea,Present,Nay,Nay,,Nay,,Nay,Nay,,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Present,Nay,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,Nay,Nay,Nay,Present,Nay,Not Voting,Present,Yea,Nay,,Nay,Nay,Present,,Nay,Nay,,,Not Voting,,Yea,Nay,Nay,,Nay,Nay,,Nay,Present,Nay,Nay,,Nay,Present,Nay,Yea,Nay,Nay,Nay,Present,1946-07-23,0,,unknown,hr4051
Nay,Nay,Present,Present,Yea,,Nay,Nay,Yea,Not Voting,Present,Yea,Yea,,,Yea,Present,Nay,Present,Yea,,,Yea,Yea,Yea,Yea,Nay,Yea,Present,Yea,Yea,Nay,Nay,,,Nay,Nay,Yea,Yea,Present,Yea,Yea,Present,Nay,Nay,,Nay,,Nay,Nay,,Nay,Nay,Nay,Nay,,Nay,Yea,Nay,Present,Nay,Yea,Nay,Yea,Nay,Present,Yea,,Nay,Nay,Nay,Yea,Present,Nay,Nay,Present,Present,Nay,,Yea,Nay,Present,,Yea,Yea,,,Present,,Yea,Nay,Nay,,Nay,Nay,,Nay,Present,Yea,Nay,,Yea,Present,Yea,Yea,Yea,Yea,Yea,,1946-07-23,0,,unknown,hr4051
Yea,Not Voting,Yea,Present,Nay,,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,,,Nay,Present,Yea,Nay,Nay,,,Not Voting,Yea,Yea,Yea,Yea,Yea,Present,Nay,Yea,Yea,Yea,,,Yea,Yea,Nay,Yea,Present,Nay,Yea,Not Voting,Yea,Yea,,Yea,,Yea,Yea,,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Present,Yea,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Not Voting,,Not Voting,Yea,Present,,Nay,Yea,,,Yea,,Yea,Yea,Yea,,Nay,Nay,,Yea,Present,Nay,Yea,,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,,1946-07-24,0,,unknown,hjres371
Nay,Yea,Yea,Present,Yea,,Nay,Yea,Yea,Present,Present,Yea,Present,,,Present,Present,Present,Present,Yea,,,Present,Yea,Nay,Yea,Present,Yea,Present,Nay,Yea,Yea,Yea,,,Yea,Nay,Yea,Yea,Present,Yea,Nay,Present,Nay,Yea,,Nay,,Yea,Nay,,Nay,Nay,Yea,Yea,,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,,Not Voting,Yea,Present,,Nay,Yea,,,Nay,,Yea,Nay,Nay,,Yea,Present,,Nay,Present,Nay,Nay,,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,,1946-07-26,0,,unknown,hr1362
Nay,Present,Yea,Present,Yea,,Nay,Present,Present,Present,Present,Yea,Present,,,Present,Present,Present,Present,Yea,,,Present,Nay,Nay,Yea,Present,Nay,Present,Nay,Nay,Present,Yea,,,Nay,Not Voting,Yea,Yea,Present,Yea,Present,Present,Nay,Yea,,Nay,,Nay,Nay,,Nay,Nay,Nay,Nay,,Present,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,Nay,Not Voting,Present,Present,Present,Nay,Nay,Yea,Nay,,Present,Not Voting,Present,,Nay,Yea,,,Present,,Yea,Nay,Nay,,Nay,Present,,Nay,Present,Nay,Not Voting,,Nay,Nay,Yea,Yea,Yea,Yea,Present,,1946-07-27,0,,unknown,hr1362
Yea,Not Voting,Nay,Present,Nay,,Yea,Yea,Present,Present,Present,Yea,Present,,,Not Voting,Present,Present,Present,Nay,,,Not Voting,Yea,Yea,Yea,Present,Yea,Present,Yea,Yea,Not Voting,Yea,,,Yea,Not Voting,Nay,Nay,Present,Nay,Not Voting,Present,Yea,Yea,,Yea,,Yea,Yea,,Yea,Yea,Yea,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Yea,Yea,Yea,Present,Not Voting,Present,Yea,Yea,Nay,Yea,,Not Voting,Not Voting,Present,,Yea,Yea,,,Yea,,Nay,Yea,Yea,,Yea,Present,,Yea,Present,Yea,Not Voting,,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,,1946-07-27,0,,unknown,hr1362
Not Voting,Nay,Yea,Not Voting,Yea,,Yea,Nay,Present,Nay,Not Voting,Not Voting,Present,,,Not Voting,Present,Nay,Present,Yea,,,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,,,Yea,Yea,Nay,Nay,Present,Present,Nay,Not Voting,Nay,Nay,,Yea,,Nay,Yea,,Yea,Yea,Not Voting,Yea,,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,,Not Voting,Nay,Present,,Present,Yea,,,Nay,,Yea,Yea,Yea,,Yea,Not Voting,,Yea,Present,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Not Voting,Not Voting,,1946-07-31,0,,unknown,hr7
Present,Nay,Yea,Present,Yea,,Yea,Present,Present,Yea,Present,Present,Present,,,Present,Present,Nay,Present,Yea,,,Nay,Nay,Yea,Yea,Yea,Nay,Present,Yea,Yea,Yea,Present,,,Yea,Yea,Nay,Yea,Present,Present,Nay,Present,Yea,Nay,,Nay,,Nay,Present,,Yea,Yea,Present,Yea,,Nay,Present,Nay,Nay,Nay,Yea,Present,Yea,Yea,Yea,Yea,,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Present,Present,Yea,,Present,Yea,Present,,Yea,Yea,,,Present,,Yea,Yea,Yea,,Nay,Present,,Yea,Present,Nay,Yea,,Nay,Present,Yea,Yea,Nay,Not Voting,Present,,1946-08-01,0,,unknown,hjres390
Present,Nay,Yea,Present,Yea,,Nay,Nay,Present,Yea,Present,Present,Present,,,Present,Present,Yea,Present,Yea,,,Nay,Present,Yea,Nay,Nay,Nay,Present,Present,Nay,Yea,Present,,,Nay,Nay,Yea,Present,Present,Present,Nay,Present,Nay,Nay,,Nay,,Nay,Not Voting,,Nay,Nay,Present,Nay,,Nay,Present,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,,Nay,Nay,Nay,Nay,Present,Yea,Nay,Present,Present,Yea,,Present,Present,Present,,Present,Nay,,,Present,,Yea,Nay,Nay,,Nay,Present,,Nay,Present,Yea,Nay,,Nay,Present,Yea,Yea,Present,Present,Present,,1946-08-01,0,,unknown,hjres390
Present,Nay,Nay,Present,Yea,,Nay,Yea,Present,Yea,Present,Present,Present,,,Present,Present,Present,Present,Yea,,,Nay,Nay,Nay,Nay,Present,Nay,Present,Nay,Nay,Nay,Present,,,Nay,Nay,Yea,Yea,Present,Present,Nay,Present,Nay,Nay,,Nay,,Nay,Not Voting,,Nay,Yea,Present,Nay,,Nay,Present,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Present,Present,Nay,,Present,Nay,Present,,Present,Nay,,,Present,,Yea,Nay,Nay,,Nay,Present,,Nay,Present,Nay,Nay,,Nay,Present,Yea,Yea,Yea,Present,Present,,1946-08-01,0,,unknown,hjres390
